"Jméno";"IČ";"DIČ";"Mobilní telefon";"Telefon do práce";"Banka";"Osoba";"Země";"Kraj";"Město";"PSČ";"Ulice";"Číslo účtu";"Var. symbol";"Skupina";"Poznámka"
"MĚSTO NÁCHOD";"00272868";"";"774 261 777";"";"";"Iveta Hánová";"Česká republika";"Východočeský";"Náchod";"54701";"Masarykovo náměstí 40";"";"";"Městské a obecní úřady";""
"MAREDIV s.r.o.";"06599354";"";"777 113 433";"";"";"Mareš Miroslav";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"";""
"Centrum vzdělávání, informací a kultury";"46390472";"";"";"";"";"";"Česká republika";"";"Český Brod";"282 01";"";"";"";"Agentury";""
"Art Residence Bohemia z.s";"10837710";"";"777 655 395";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Art Residence Bohemia z.s";"10837710";"";"777 655 395";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Art Residence Bohemia z.s";"10837710";"";"777 655 395";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Statutární město Most";"00266094";"";"777 115 524";"";"";"Dočkal Petr";"Česká republika";"";"Most";"434 01";"";"";"";"Městské a obecní úřady";""
"KyTICe - Kulturní zařízení Světlá nad Sázavou";"75059771";"";"733 604 415";"";"";"Marie Koudelová";"Česká republika";"Východočeský";"Světlá nad Sázavou";"582 91";"náměstí Trčků z Lípy 16";"";"";"Divadla,Kulturní zařízení";""
"Výstaviště České Budějovice a.s.";"60827475";"";"778 454 064";"";"";"Nikola Rotbauer";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Husova tř. 523/30";"";"";"Agentury";""
"Město Litvínov";"266027";"";"777 115 524";"";"";"Dáša Wohánková";"Česká republika";"Severočeský";"Litvínov";"436 0";"Horní Litvínov, náměstí Míru 11";"";"";"Městské a obecní úřady";""
"Posázaví o.p.s.";"27129772";"";"723 881 081";"";"";"Bohunka Zemanová";"Česká republika";"Středočeský";"Týnec nad Sázavou";"257 41";"Jemniště 1";"";"";"Agentury";""
"Makrathea plus, s.r.o";"04848969";"";"";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Základní umělecká škola Vítězslava Nováka,";"60816821";"";"775 244 912";"";"";"Vojtěch Maděryč";"";"Jihočeský";"Jindřichův Hradec";"377 01";"Základní umělecká škola Vítězslava Nováka, Jindřichův Hradec, Janderova 165/II.";"";"";"Školy";""
"Kulturní zařízení města Valašského Meziříčí, příspěvková organizace";"00368946";"";"607 029 949";"";"";"Marek Baroš";"Česká republika";"Severomoravský";"Valašské Meziříčí";"757 01";"Komenského 1/3";"";"";"Agentury";""
"Mš Hlincova Hora";"";"";"";"";"";"Podlahová Pavla";"Česká republika";"";"Hlincova Hora";"37371";"";"";"";"Školy";""
"Mateřská škola Hlincová Hora";"01893807";"";"725 963 386";"";"";"Kazderová Radmila";"Česká republika";"Jihočeský";"Hlincova Hora";"37371";"Hlincová Hora 5";"";"";"Školy";""
"Žijeme Týnem, z.s";"17743672";"";"778 468 250";"";"";"Gabriela Ranglová";"Česká republika";"Jihočeský";"Týn nad Vltavou ";"375 01";"Malá Strana, Bohunická 535";"";"";"Agentury";""
"1. mateřská škola Jindřichův Hradec II";"70981965";"";"721 563 465";"";"";"Eva Kocarová";"Česká republika";"";"Jindřichův Hradec";"377 01";"";"";"";"Školy";""
"Anifilm";"22813861";"";"733 195 373";"";"";"Anna Málková";"Česká republika";"Středočeský";"Praha ";"110 00";"Praha 10, Vinohrady, Hradešínská 1542/6";"";"";"Agentury";""
"Mateřská škola Větrná";"60077069";"";"727 930 499";"";"";"Světlana Mládková";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Větrná 966/24";"";"";"Školy";""
"Regionální muzeum v Kolíně, p.o.";"00410047";"";"734 312 038";"";"";"Radka Pšeničková";"Česká republika";"Středočeský";"Kolín";"280 02";"Kolín I, Karlovo náměstí 8";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"BUDE CIRKUS, z.s.";"17732182";"";"777 225 865";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Komunitní středisko KONTAKT Liberec, příspěvková organizace";"27336751";"";"734 354 371";"";"";"Marie Matějíčková";"Česká republika";"";"Liberec";"460 07";"";"";"";"Agentury";""
"SH ČMS - Sbor dobrovolných hasičů Ohrazeníčko";"65049004";"";"777 084 601";"";"";"Helena Jaloševská";"Česká republika";"Jihočeský";"Ledenice";"373 11";"Ohrazeníčko 30";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Helena Jaloševská";"";"";"777 084 601";"";"";"Helena Jaloševská";"Česká republika";"Jihočeský";"Ledenice";"373 11";"Ohrazeníčko 2";"";"";"Soukromé osoby";""
"Sunshine Cabaret z.s.";"22838759";"";"606 513 234";"";"";"Michaela Sýkorová";"Česká republika";"Jihočeský";"Strakonice";"386 01";"Švandy dudáka 737";"";"";"Agentury";""
"ICOS Český Krumlov, o.p.s.";"70815089";"";"774 292 622";"";"";"Květa Škrabalová";"Česká republika";"Jihočeský";"Český Krumlov";"381 01";"Plešivec, 5. května 251";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"ROSKA ČESKÉ BUDĚJOVICE, z.p.s.";"65011732";"";"776 369 693";"";"";"Petra Pečlová";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Lipenská 869/17";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Dívčice";"00244775";"";"732 918 033";"";"";"Stulík";"Česká republika";"Jihočeský";"Dívčice";"373 48";"Dívčice 41";"";"";"Městské a obecní úřady";""
"Základní škola a lesní mateřská škola Na dvorečku";"IČO	Obchodní firma Místo podnikání	Odkazy 0615940";"";"777 258 450";"";"";"Alena Laláková";"Česká republika";"Středočeský";"Černošice";"252 28";"Karlštejnská 253";"";"";"Školy";""
"Vesnický hudební klub z. s.";"19336314";"";"602 317 371";"";"";"Koubek Václav";"Česká republika";"";"Chotěmice";"392 01";"";"";"";"Agentury";""
"Obec Příbraz";"00666955";"";"723 908  035";"";"";"Jiří Šetka";"Česká republika";"Jihočeský";"Příbraz";"378 02";"Příbraz 155";"";"";"Městské a obecní úřady";""
"Petra Nováková";"73943991";"";"732 42 58 21";"";"";"";"Česká republika";"";"Ostrava";"729 29 ";"";"";"";"Agentury";""
"Kulturní centrum Týnec, příspěvková organizace";"11865059";"";"774 885 101";"";"";"Dagmar Felcmanová";"Česká republika";"Středočeský";"Týnec nad Sázavou";"257 41";"Klusáčkova 2";"";"";"Agentury";""
"Obec Nová Pec";"00250619";"";"603 213 694";"starosta@novapec.eu";"";"Martin Hrbek";"Česká republika";"Jihočeský";"Nová Pec";"384 62";"Nové Chalupy 43";"";"";"Městské a obecní úřady";""
"Střemcha 2018, z.s.";"06994245";"";"603 459 548";"";"";"Mirek Škopek";"Česká republika";"Středoslovenský";"Třemošnice";"538 43";"Třemošnice 19";"";"";"";""
"BRUTT dětská organizace z. s.";"26657546";"";"778 718 545";"";"";"Mirek Havlíček";"Česká republika";"Středočeský";"Praha ";"110 00";"Žižkov, Olgy Havlové 2914/52";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"IMPAKT Společnost pro aktivizaci periferií, z. s.";"22664157";"";"777 186 208";"";"";"Kateřina Čejková";"Česká republika";"Jihočeský";"Dub";"384 25";"Dub 33";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"PETRINUM s.r.o.";"28136306";"";"731 402 878";"";"";"Tomáš Cyril Havel";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"ADRA, o.p.s.";"61388122";"";"731 705 002";"";"";"Iva Kyselová";"Česká republika";"Středoslovenský";"Praha ";"110 00";"Jinonice, Markova 600/6";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Divadlo Emilion";"15069974";"";"603 346 362";"";"";"Navrátil Emil";"Česká republika";"Východočeský";"Ústí 83";"588 42";"Ústí 83";"";"";"Agentury";""
"Gesamtkunstwerk s.r.o.";"09305351";"";"602 322 322";"";"";"Jana Hnídková";"Česká republika";"Středočeský";"Praha ";"110 00";"Vinohrady, Slavíkova 1608/15";"";"";"Agentury";""
"Centrum pro dětský sluch Tamtam, o.p.s";"00499811";"";"725 586 567";"";"";"Kateřina Kosáková";"Česká republika";"Středočeský";"Praha ";"110 00";"Stodůlky, Hábova 1571/22";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Základní škola a Mateřská škola Želeč, okres Tábor";"70988218";"";"";"380 322 411";"";"Jana Podlahová";"";"";"Želeč";"391 74";"";"";"";"Školy";""
"Městské kulturní středisko Úpice";"00194786";"";"605 514 212";"";"";"Zina Rýgrová";"Česká republika";"Severočeský";"Úpice";"542 32";"Chelčického 216";"";"";"Divadla,Kulturní zařízení";""
"Obec Hůry";"00581381";"";"776 773 557";"";"";"Anna Hrdinová";"Česká republika";"Jihočeský";"Hůry";"373 71";"Na sadech 155";"";"";"Městské a obecní úřady";""
"Město Choceň";"00278955";"";"734 522 532";"";"";"Josef Horáček";"Česká republika";"Východočeský";"Choceň";"565 01";"Jungmannova 301";"";"";"Městské a obecní úřady";""
"Obec Pluhův Žďár";"00247260";"";"00247260";"";"";"Jan Kůrka";"Česká republika";"Jihočeský";"Pluhův Žďár";"37824";"Pluhův Žďár 66";"";"";"Městské a obecní úřady";""
"Bazilika o.p.s.";"260643367";"";"777 753 387";"";"";"Grauer Jiří";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Česká 141";"";"";"Agentury";""
"Zš a Mš Dubné";"75000547";"";"775 291 085";"";"";"";"Česká republika";"";"Dubné";"373 84";"";"";"";"Školy";""
"Želečským dětem o.p.";"27049655";"";"777 114 431";"";"";"Lanžhotská Dagmar";"Česká republika";"";"Želeč";"391 74";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Nostalgie";"75000547";"";"723 442 773";"";"";"Kabrle Miloš";"Česká republika";"Středočeský";"Beroun";"266 01";"Nerudova 879";"";"";"Školy";""
"Kulturní zařízení města Boskovice";"69648468";"";"739 515 227";"";"";"Opatřilová Věra";"Česká republika";"Jihomoravský";"Boskovice";"680 01";"Hradní 5";"";"";"Agentury";""
"Umělecké programy.cz";"61213578";"";"774 517 846";"";"";"Vanická Hana";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Městská část Praha 18";"00231321";"";"603 280 381";"";"";"Michaela Řepová";"Česká republika";"Středočeský";"Praha ";"110 00";"Bechyňská 639";"";"";"Městské a obecní úřady";""
"Město Jesenice";"00241318";"";"775 775 980";"";"";"Jitka Chmelová";"Česká republika";"Středočeský";"Jesenice";"252 42";"Budějovická 303";"";"";"Městské a obecní úřady";""
"Divadelní ochotnický spolek Jirny";"7578806";"";"605 405 183";"";"";"Marie Kočová";"Česká republika";"Středočeský";"Jirny";"250 90";"Hlavní 261";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Jihočeská zoologická zahrada Hluboká nad Vltavou";"00410829";"";"602 390 355";"";"";"Vlčková Zuzana";"Česká republika";"Jihočeský";"Hluboká nad Vltavou";"373 41";"Ohrada 417";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Občanské sdružení Fest 2004";"26637189";"";"604 836 662";"";"";"Pavlík Štěpán";"Česká republika";"Jihočeský";"Sezimovo Ústí";"391 01";"Lipová 492";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obecní úřad Lošany";"00235555";"";"737 445 261";"";"";"Drahovzal Martin";"Česká republika";"Středočeský";"Lošany";"280 02";"Lošany 13";"";"";"Městské a obecní úřady";""
"Občanské sdružení Effatha Praha";"70839409";"";"603 141 575";"";"";"Josef Dvořáček";"Česká republika";"Středočeský";"Praha ";"110 00";"Kolejní 676/4";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Jankov";"00245020";"";"775 349 978";"";"";"Jiřina Halmlová";"Česká republika";"Jihočeský";"Jankov";"373 84";"Jankov 46";"";"";"Městské a obecní úřady";""
"Dominik centrum s.r.o.";"61775134";"";"603 995 119";"";"";"Košařová Eva";"Česká republika";"Západočeský";"Plzeň";"301 00";"Dominikánská 3";"";"";"Agentury";""
"Tyjátr fest";"";"";"737 835 585";"";"";"Veselý Václav";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Kaňk 149";"";"";"Agentury";""
"Střední uměleckoprůmyslová škola Sv.Anežky České";"60084286";"";"";"";"";"";"Česká republika";"Jihočeský";"Český Krumlov";"381 01";"Tavírna 109";"";"";"Školy";""
"Muzeum Jindřichohradecka";"00070971";"";"604 107 631";"";"";"Helena Svobodová";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"Balbínovo nám. 19";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Borovany";"00244686";"";"739 242 184";"";"";"";"Česká republika";"";"Borovany";"373 12";"";"";"";"Divadla,Kulturní zařízení";""
"Scarlett Events, s.r.o.";"08509760";"";"775 069 096";"";"";"Scarlett Vondrušková";"Česká republika";"Středočeský";"Praha ";"110 00";"";"";"";"Agentury";""
"DETO production s.r.o";"28809076";"";"602 404 686";"";"";"Jana Hronová";"Česká republika";"Středočeský";"Praha ";"110 00";"Na příkopě 1047/17, Staré Město";"";"";"Agentury";""
"Residence Hotels s.r.o.";"28214137";"";"776 270 811";"";"";"Lucie Řehoutová";"Česká republika";"Jihočeský";"Hluboká u Borovan";"373 12";"Hluboká u Borovan 26";"";"";"Agentury";""
"OBEC STRÁŽKOVICE";"00245461";"";"776 277 956";"";"";"Renata Šobrová";"Česká republika";"Jihočeský";"Strážkovice";"374 01";"Strážkovice 95";"";"";"Městské a obecní úřady";""
"Městys Dub";"00250406";"";"723 824 460";"";"";"Václav Novák";"Česká republika";"Jihočeský";"Dub u Prachatic";"384 25";"Dub 4 38425 Dub";"";"";"Městské a obecní úřady";""
"BETA 21 s.r.o.";"11684887";"";"607 224 783";"";"";"Michal Opekar";"Česká republika";"Středočeský";"Praha ";"110 00";"Melantrichova 970/17";"";"";"Agentury";""
"Poprask z.s.";"08331499";"";"605 766 906";"";"";"Milan Kolář";"Česká republika";"Východočeský";"Jihlava";"586 01";"Dlouhá stezka 505/20";"";"";"Agentury";""
"Obec Štěpánovice";"00245518";"";"603 113 014";"";"";"Lucie Tichá";"Česká republika";"Jihočeský";"Štěpánovice";"373 73";"Vlkovická 154";"";"";"Městské a obecní úřady";""
"Obec Třebichovice";"00235016";"";"777 755 555";"";"";"Petrišťák Milan ";"Česká republika";"Severočeský";"Třebichovice";"27306";"Třebichovice 89";"";"";"Městské a obecní úřady";""
"AR SERVIS s.r.o";"42408393";"";"737 245 215";"";"";"Tereza Batrlová";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"AR SERVIS s.r.o. Jarošovská 869";"";"";"Agentury";""
"Nemocnice České Budějovice a.s.";"26068877";"";"607 240 741";"";"";"Eva Führerová";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Černá louka s.r.o.";"26879280";"";"724 184 439";"";"";"";"Česká republika";"";"Ostrava";"729 29 ";"";"";"";"Agentury";""
"obec Kamenný Újezd";"00245062";"";"728 260 206";"";"";"Tereza Čamrová";"Česká republika";"";"Kamenný Újezd";"373 81";"";"";"";"Městské a obecní úřady";""
"STILL PRODUCTION s.r.o.";"17589053";"";"606 941 300";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"STILL PRODUCTION s.r.o.";"17589053";"";"606 941 300";"";"";"Jan Tománek";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Riegrova 1756/51";"";"";"Agentury";""
"Městská část Praha-Benice";"00240052";"";"607 553 199";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Květnového povstání 21";"";"";"Městské a obecní úřady";""
"Památník Antonína Dvořáka ve Vysoké u Příbrami, příspěvková organizace";"48956341";"";"775 161 432";"";"";"Barbora Kouklíková";"";"Středočeský";"Vysoká u Příbramě";"26242";"Vysoká u Příbramě 69";"";"";"Agentury";""
"Středisko kulturních služeb města Svitavy";"13584456";"";"734 416 994";"";"";"";"Česká republika";"";"Svitavy";"568 02";"";"";"";"Divadla,Kulturní zařízení";""
"Středisko kulturních služeb města Svitavy";"13584456";"";"734 416 994";"";"";"Michal Kadlec";"Česká republika";"Východočeský";"Svitavy";"568 02";"Wolkerova alej 92/18";"";"";"Divadla,Kulturní zařízení";""
"Město Zásmuky";"00235954";"";"";"";"";"";"Česká republika";"Středočeský";"Zásmuky";"28144";"Komenského nám. 133";"";"";"Městské a obecní úřady";""
"Marissa Yellow, a.s.";"24834378";"";"778 085 097";"";"";"Sabina Gruberová";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Technické služby obce Vestec, příspěvková organizace";"72557001";"";"734 755 516";"";"";"Kateřina Haladová";"Česká republika";"Středočeský";"Vestec";"25250";"Vestecká 3";"";"";"Městské a obecní úřady";""
"Telura a.s.";"28113969";"";"724 748 417";"";"";"Kateřina Lundáková";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Riegrova 1756/51";"";"";"Agentury";""
"Spolek FČAS";"04171926";"";"776 254 700";"";"";"Račáková Veronika";"Česká republika";"Jihočeský";"Frymburk";"382 79";"Frymburk 23";"";"";"Agentury";""
"MŠ Papírenská";"60077077";"";"739 264 786";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Školy";""
"Panství Bechyně s.r.o.";"28086571";"";"603 419 590";"";"";"Šárka Kounovská";"Česká republika";"Jihočeský";"Bechyně";"391 65";"Zámek 1";"";"";"Agentury";""
"KULTURNÍ ZAŘÍZENÍ MĚSTA POČÁTKY";"00366315";"";"602 223 732";"";"";"Hana Koronczi";"Česká republika";"Jihočeský";"Počátky";"39464";"Palackého nám. 7";"";"";"Divadla,Kulturní zařízení";""
"Jaromír Havlíček";"63301687";"";"602 542 706";"";"";"Jaromír Havlíček";"Česká republika";"Severomoravský";"Hradec nad Moravicí";"747 41";"Nádražní 583";"";"";"Agentury";""
"Obec Loděnice";"233510";"";"?";"";"";"Dagmar Feková";"Česká republika";"Středočeský";"Loděnice";"267 12";"Husovo nám. 4";"";"";"Městské a obecní úřady";""
"Umělecká produkce Harold";"48858943";"";"603 810 132";"";"";"Jarmila Křižanová";"Česká republika";"Jihomoravský";"Brno";"614 00";"Úvoz 521/17";"";"";"Agentury";""
"Česko Britská Základní Škola, s.r.o.";"25108093";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"K Lesu 558, Praha Kamýk";"";"";"Školy";""
"Kulturní centrum Bílina";"00266230";"";"775 601 246";"";"";"Moravec Antonín";"Česká republika";"";"";"";"";"";"";"Agentury";""
"Ing,Petrujová Eva";"neznámé";"";"603 261 375";"";"";"";"Česká republika";"";"Brumov";"763 31";"";"";"";"Agentury";""
"Petrujová Eva";"neznámé";"";"603 261 375";"";"";"Petrujová Eva";"Česká republika";"Severočeský";"Brumov";"763 31";"Brumov-Bylnice";"";"";"Agentury";""
"Muzeum T.G.M. Rakovník, příspěvková organizace";"00360155";"";"???";"";"";"Uhrová Kateřina";"Česká republika";"Středočeský";"Rakovník";"269 01";"Vysoká 95, Rakovník I, 269 01 Rakovník";"";"";"Divadla,Kulturní zařízení";""
"Obec Hamr";"00673498";"";"???";"";"";"";"Česká republika";"";"Hamr";"378 06";"";"";"";"Městské a obecní úřady";""
"Česká křesťanská akademie";"15887472";"";"???";"";"";"Jiří Plhák";"Česká republika";"Východočeský";"Vysoké Mýto";"566 01";"Javornického 253";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Biskupství královéhradecké";"00445134";"";"724 704 977";"";"";"Klásek Štěpán";"Česká republika";"Východočeský";"Hradec Králové";"500 02";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Zš Dubenec";"75017881";"";"???";"";"";"Aleš Malý";"Česká republika";"Východočeský";"Dubenec";"544 55";"Dubenec 156";"";"";"Školy";""
"Stand-art";"14488736";"";"603 711 977";"";"";"Schel Jaromír";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Litvínovice 313";"";"";"Agentury";""
"Brožek Petr";"46374426";"";"777 235 578";"";"";"Brožek  Petr";"Česká republika";"Středočeský";"Český Brod";"282 01";"Masarykova 398";"";"";"Agentury";""
"Jihočeská univerzita";"60076568";"";"???";"";"";"";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Branišovská 31";"";"";"Školy";""
"Studentské univerzitní divadlo";"";"";"???";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Dům dětí a mládeže Modřany";"45241295";"";"???";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Herrmannova 2016/24, Modřany";"";"";"Divadla,Kulturní zařízení";""
"Město Kardašova Řečice";"00246905";"";"723 837 324";"";"";"Baroš František";"Česká republika";"Jihočeský";"Kardašova Řečice";"378 21";"nám. J. Hrubého 64";"";"";"Městské a obecní úřady";""
"KULTURNÍ DŮM KRAKOV";"00639524";"";"775 329 799";"";"";"Jarmila Mastejová";"Česká republika";"Středočeský";"Praha ";"110 00";"Těšínská 600";"";"";"Divadla,Kulturní zařízení";""
"Agentura LeV";"08791724";"";"???";"";"";"";"Česká republika";"Východočeský";"Moravská Třebová";"571 01";"Komenského 781";"";"";"Agentury";""
"Obec Homole";"00244902";"";"602 104 621";"";"";"Marie Štěpánková";"Česká republika";"Jihočeský";"Homole";"373 82";"Budějovická 72,";"";"";"Městské a obecní úřady";""
"Kulturní Klub";"00242221";"";"724 915 035";"";"";"Křepelová H.";"Česká republika";"Západočeský";"Rožmitál pod Třemšínem";"262 42";"Náměstí 23";"";"";"Divadla,Kulturní zařízení";""
"Divadlo za sklem";"66635730";"";"777 236 078";"";"";"Jana Lovecká";"Česká republika";"Středočeský";"Praha ";"110 00";"Plickova 553/21, 14900";"";"";"Divadla,Kulturní zařízení";""
"Mateřská škola, Praha 7, Nad Štolou 6/1277, příspěvková organizace";"70886261";"";"???";"";"";"Dufková Jitka";"Česká republika";"Středočeský";"Praha ";"110 00";"Nad Štolou";"";"";"Agentury";""
"Penzion Příbrazský";"68527951";"";"724 132 556";"";"";"Blažková Markéta";"Česká republika";"";"Příbraz";"378 02";"";"";"";"Agentury";""
"Odyssea, z.s.";"63836343";"";"???";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Evropská 263/159";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kulturní dům Střelnice";"13584201";"";"604 272 669";"";"";"Lenka Vričanová";"Česká republika";"Severočeský";"Vrchlabí";"54301";"Vančurova 378";"";"";"Divadla,Kulturní zařízení";""
"Vladimír Rolčík";"45050431";"";"774 608 226";"";"";"Vladimír Rolčík";"Česká republika";"Jihočeský";"Černá v Pošumaví";"382 23";"Černá v Pošumaví 132";"";"";"Agentury";""
"Veselý Václav";"";"";"";"";"";"Veselý Václav";"";"Středočeský";"Kutná Hora";"284 01";"Kutná Hora-Kaňk";"";"";"";""
"Hřebčín FAVORY, spol. s r.o.";"";"";"602 269 376";"";"";"Romana Krausová";"Česká republika";"Středočeský";"Benice";"257 44";"Benice 1";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Sdružení Rytíři a lapkové z Vítku";"48003131";"";"602 539 659";"";"";"";"Česká republika";"Severomoravský";"Vítkov";"749 01";"Klokočovská 226";"";"";"Agentury";""
"Městys Škvorec";"00240869";"";"???";"";"";"";"Česká republika";"";"Škvorec";"250 83";"";"";"";"Městské a obecní úřady";""
"Římskokatolická farnost Dobříš";"47067829";"";"???";"";"";"";"Česká republika";"Středočeský";"Dobříš";"263 01";"Na Nábřeží 1650";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Faber";"62573349";"";"777 66 88 95";"";"";"Vladimír Pěnkava";"Česká republika";"Středočeský";"Takonín";"256 01";"Takonín 2";"";"";"Agentury";""
"Tomáš Suchý";"???";"";"732 156 122";"";"";"Tomáš Suchý";"Česká republika";"Středočeský";"Beroun";"266 01";"Na Ptačí skále 540";"";"";"Agentury";""
"Masarykova základní škola";"63833956";"";"732 766 129";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Slavětínská 200/46";"";"";"Školy";""
"Město Lišov";"00245178";"";"777 278 031";"";"";"Perníková Zdena";"Česká republika";"Jihočeský";"Lišov";"373 72";"třída 5. května 139/156";"";"";"Městské a obecní úřady";""
"O.S Divadelní centrum Český Krumlov";"26666171";"";"???";"";"";"";"Česká republika";"Jihočeský";"Český Krumlov";"381 01";"Latrán 6";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Kavárna na půl cesty";"???";"";"604 980 036";"";"";"Horáčková Kateřina";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Krajinská 223/39";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Česká Televize TS Brno";"00027391";"";"???";"";"";"";"Česká republika";"Jihomoravský";"Brno";"614 00";"Běhounská 18";"";"";"Agentury";""
"Kultura Moravský Krumlov";"45671800";"";"";"515 322 225";"";"Závišková Irena";"Česká republika";"Jihomoravský";"Moravský Krumlov";"672 01";"Břízová 254,";"";"";"Divadla,Kulturní zařízení";""
"Hradecká kulturní a vzdělávací společnost s.r.o.";"27472809";"";"???";"";"";"";"Česká republika";"Východočeský";"Hradec Králové";"500 02";"Československé armády 300/22";"";"";"Divadla,Kulturní zařízení";""
"KIC města Sadská";"70881324";"";"603 891 304";"";"";"Zdena Hamerová";"Česká republika";"Středočeský";"Sadská";"289 12";"Palackého nám.1";"";"";"Divadla,Kulturní zařízení";""
"Pavel Cingl";"601855589";"";"775 352 870";"";"";"Pavel Cingl";"Česká republika";"Středočeský";"Praha ";"110 00";"Tusarova 5";"";"";"Agentury";""
"O.S.Sklep Sobě";"68379161";"";"???";"";"";"Alena Svatá";"Česká republika";"Středočeský";"Praha ";"110 00";"Jasná 1181";"";"";"Divadla,Kulturní zařízení";""
"Městské kulturní středisko Konice, příspěvková organizace";"00209988";"";"776 012 079";"";"";"Hlavová M.";"Česká republika";"Jihomoravský";"Konice";"798 52";"Kostelní 46";"";"";"Divadla,Kulturní zařízení";""
"Dům kultury Žďár nad Sázavou";"13695681";"";"724 190 928";"";"";"Kateřina Burešová";"Česká republika";"Východočeský";"Žďár nad Sázavou";"591 01";"Libušínská 183";"";"";"Divadla,Kulturní zařízení";""
"Lukáš Zahradník";"???";"";"???";"";"";"Lukáš Zahradník";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"B.Smetany 2";"";"";"Agentury";""
"DDMHL.M Prahy Karlínské spektrum";"???";"";"???";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Karlovo nám 7";"";"";"Agentury";""
"Lucie Gančevová";"???";"";"603 426 386";"";"";"Lucie Gančevová";"";"Středočeský";"Praha ";"110 00";"???";"";"";"Agentury";""
"Obec Klášterní Skalice";"00665126";"";"739 568 359";"";"";"Drahovzal Martin";"Česká republika";"Středočeský";"Klášterní Skalice";"280 02";"Velikého 362";"";"";"Městské a obecní úřady";""
"Informační kulturní středisko města Třeboně";"00365751";"";"???";"";"";"";"Česká republika";"Jihočeský";"Třeboň";"379 01";"Masarykovo náměstí 103";"";"";"Divadla,Kulturní zařízení";""
"Zámek Jemniště";"27882756";"";"736 630 568";"";"";"Kratochvílová Michala";"Česká republika";"Středočeský";"Jemniště";"257 01";"Jemniště 1";"";"";"Agentury";""
